rank,slug,name_kr,name_en,zone,change,comp,margin,summary
13,auto-accessories,자동차 액세서리,Auto Accessories,blue,6,4,40,"차량용 방향제, 대시보드 커버, 스마트폰 거치대 등 한국산 자동차 액세서리가 좋은 반응을 얻고 있습니다. DIY 문화가 발달한 북미 시장이 주요 타겟입니다."
14,drones,드론/액세서리,Drones & Accessories,blue,-8,3,30,"개인 영상 촬영 및 취미용 드론 시장이 확대되면서 한국 셀러들의 드론 판매가 높은 성장세를 보였습니다. 관련 액세서리(배터리, 프로펠러)도 함께 판매가 증가하고 있습니다."
15,k-food,K-푸드/스낵,K-Food & Snacks,blue,3,4,35,"라면, 과자, 김 등 K-푸드는 꾸준한 수요를 보입니다. 특히 K-드라마, 영화에 노출된 제품들이 높은 판매량을 기록하는 경향이 있습니다."
16,mens-fashion,남성 패션 잡화,Men's Fashion Accessories,blue,-7,3,45,"스포츠웨어, 신발, 지갑, 모자 등 남성 패션 잡화는 꾸준히 상위권을 유지하는 카테고리입니다. K-브랜드에 대한 국제적 관심이 판매를 견인하고 있습니다."
17,k-beauty-haircare,K-뷰티 (헤어케어),K-Beauty Haircare,blue,-5,3,55,"K-뷰티 카테고리 내에서 헤어케어 제품이 두각을 나타내고 있습니다. 특히 일본 시장에서 두피, 바디 등 고기능성 케어 제품에 대한 수요가 증가하는 추세입니다."
18,k-stationery,K-문구/다꾸,K-Stationery & Diary Deco,blue,3,3,50,한국의 아기자기한 디자인 문구와 다이어리 꾸미기(다꾸) 용품이 해외 팬들에게 인기가 많습니다. K팝 팬덤 문화와 결합하여 시너지를 내고 있습니다.
19,webtoon-goods,웹툰 굿즈,Webtoon Goods,blue,5,2,40,"글로벌 팬덤을 보유한 인기 웹툰의 단행본, 피규어, 의류 등 관련 굿즈 판매가 증가하고 있습니다. 드라마화된 작품의 경우 더 높은 관심을 받습니다."
20,camping-gear,캠핑/아웃도어,Camping & Outdoor,blue,2,3,35,한국의 혁신적인 아이디어와 디자인이 접목된 캠핑 용품들이 주목받고 있습니다. 특히 가볍고 실용적인 제품들이 인기입니다.
21,golf-gear,골프 용품,Golf Equipment,blue,2,3,30,"한국 골프웨어의 세련된 디자인과 기능성이 해외 골퍼들에게 어필하고 있습니다. 골프공, 거리측정기 등 용품 판매도 꾸준합니다."
22,lego-blocks,조립 완구/레고,LEGO & Building Blocks,blue,-6,3,25,레고 등 조립 완구는 꾸준한 성장세를 보이는 카테고리입니다. 한국 시장에만 출시된 한정판 제품이나 단종된 모델이 높은 가격에 거래됩니다.
23,kdrama-goods,K-드라마 굿즈,K-Drama Goods,blue,-3,2,38,"인기 드라마의 DVD, 블루레이, OST 앨범 및 PPL 상품들이 팬들 사이에서 활발하게 거래됩니다. 특히 일본 등 아시아권에서 수요가 높습니다."
24,kitchen-ware,K-주방용품,Korean Kitchenware,blue,-7,2,40,"쿡방과 K-푸드의 인기로 한국 주방용품에 대한 관심이 증가했습니다. 뚝배기, 돌솥, 수저 세트 등 전통적인 아이템이 인기입니다."
25,pet-supplies,반려동물 용품,Pet Supplies,blue,0,3,45,"한국의 디자인과 아이디어가 돋보이는 반려동물 의류, 장난감, 미용용품 등이 좋은 반응을 얻고 있습니다. 안전성과 품질을 강조하는 제품이 유리합니다."
26,esports-merch,e스포츠 굿즈,E-Sports Merch,blue,1,2,35,"T1 등 한국의 유명 e스포츠 구단의 유니폼, 마우스패드 등 관련 굿즈가 글로벌 팬덤을 기반으로 꾸준히 판매되고 있습니다."
27,home-decor,K-홈데코,Korean Home Decor,blue,-1,2,42,K-드라마와 K-팝을 통해 노출된 한국 스타일의 인테리어 소품에 대한 관심이 늘고 있습니다. 미니멀하고 감성적인 디자인의 제품이 인기입니다.
28,fishing-gear,낚시 용품,Fishing Equipment,blue,0,3,33,"품질과 기술력을 인정받은 한국산 낚싯대, 릴, 낚싯줄 등이 해외 낚시 동호인들 사이에서 점차 인지도를 높여가고 있습니다."
29,modern-hanbok,한복 모던,Modern Hanbok,blue,0,2,55,"K팝 스타들이 무대 의상으로 활용하면서 생활 한복, 모던 한복에 대한 해외 팬들의 관심이 증가했습니다. 독특하고 아름다운 디자인으로 특별한 날을 위한 의상으로 판매됩니다."
30,traditional-craft,전통 공예품,Traditional Craft,blue,0,1,60,"나전칠기, 자개 소품 등 한국의 미가 담긴 전통 공예품은 고가이지만 유니크한 아이템을 찾는 수집가들을 중심으로 거래가 이루어집니다."
